ville;latitude;longitude
Graye Et Charnay;46.473281265;5.44835224
Belloc;43.00739017;1.933669882
Ivrey;46.989178766;5.896461266
Benaix;42.895305448;1.850852879
Ladoye Sur Seille;46.767223289;5.682794409
Bethmale;42.853965958;1.07673861
Bordes Uchentein;42.837369269;1.032045893
Larnaud;46.706103332;5.457630233
Brie;43.206824744;1.517381142
La Latette;46.752350191;6.095555289
Camarade;43.069587717;1.277445001
Lavans Les St Claude;46.38753267;5.769814173
Camon;43.021739562;1.962204382
Lavans Les St Claude;46.38753267;5.769814173
Carcanieres;42.707804729;2.123895517
Lavans Les St Claude;46.38753267;5.769814173
Cazals Des Bayles;43.092880528;1.939678458
Lavigny;46.716723376;5.605508663
Cerizols;43.119836867;1.067612925
Lavigny;46.716723376;5.605508663
Chateau Verdun;42.781483366;1.677300872
Lect;46.394732447;5.672467609
Lemuy;46.889451599;5.982617343
Lent;46.75111933;5.976163891
Longcochon;46.770954536;6.075184305
La Loye;47.030432038;5.552809277
Marnezia;46.575761446;5.636094441
Mesnay;46.900018759;5.818250676
Mignovillard;46.77774079;6.140716692
Mignovillard;46.77774079;6.140716692
Molain;46.825383647;5.816773193
Molay;47.015340653;5.423234616
Monay;46.83829832;5.5952518520000005
Monnieres;47.114115559;5.460997029
Montholier;46.894594959;5.639042641
Montigny Les Arsures;46.937006746;5.776683918
Montigny Sur L Ain;46.705139659;5.791865625
Montmirey La Ville;47.217230686;5.51656716
Montmirey Le Chateau;47.229925885;5.533745481
Montrond;46.786828301;5.843837081
Morbier;46.557287203;6.016436172
Mournans Charbonny;46.776692106;5.9905407870000005
Les Moussieres;46.326880758;5.872391483
Moutoux;46.790797471;5.943902595
Les Trois Chateaux;46.419552874;5.35630085
Nancuise;46.473943072;5.529454815
Les Nans;46.79445617;5.973982908
Nevy Les Dole;47.002726559;5.51581086
Nevy Sur Seille;46.735070332;5.644726458
Offlanges;47.203818512;5.560676356
Onoz;46.448708512;5.663245225
Orgelet;46.519453561;5.598867642
Pagney;47.249741201;5.699474911
Passenans;46.804080834;5.623869417
Peseux;46.993310722;5.366668785
Picarreau;46.754640248;5.756814531
Plasne;46.794313254;5.690542388
Poids De Fiole;46.594688625;5.622458481
Poligny;46.818861886;5.773947475
Pont Du Navoy;46.731661169;5.789236418
Rahon;46.993964981;5.4744054680000005
Rotalier;46.583165602;5.476647948
Rothonay;46.515275321;5.527285899
Rouffange;47.22663237;5.708697328
Les Rousses;46.498235856;6.06968778
Les Rousses;46.498235856;6.06968778
Ste Agnes;46.614706582;5.474621246
St Claude;46.408714547;5.875920618
St Cyr Montmalin;46.958784809;5.722490744
St Didier;46.708595427;5.511372071
Val Suran;46.386313329;5.443105612
Val Suran;46.386313329;5.443105612
Coteaux Du Lizon;46.412246961;5.798719091
St Maur;46.606897999;5.595990619
St Maurice Crillat;46.568096837;5.834026935
Salans;47.160113967;5.794392815
Santans;47.042099833;5.665477502
Sarrogna;46.474500649;5.617408824
Songeson;46.647137037;5.830542779
Soucia;46.540172646;5.757784209
Souvans;46.97920539;5.553672934
Tassenieres;46.923022059;5.512541577
La Tour Du Meix;46.523696813;5.662745455
Trenal;46.636413188;5.4624955790000005
Verges;46.658826692;5.684090724
Villerserine;46.855455889;5.639683999
Villette Les Arbois;46.933518721;5.743829779
Le Villey;46.848011647;5.507972027
Val Sonnette;46.602897042;5.464680776
Val Sonnette;46.602897042;5.464680776
Vincent Froideville;46.79367224;5.482371739
Vosbles Valfin;46.348400035;5.52189486
Anlezy;46.966560312;3.498985277
Anthien;47.308662574;3.724871048
Arleuf;47.040464565;4.015692994
Asnan;47.310372331;3.5523411510000003
Aunay En Bazois;47.124134471;3.719630112
Biches;46.993703901;3.654343187
Billy Chevannes;47.011971519;3.461879934
Blismes;47.122483237;3.82148616
Breves;47.429737821;3.624267859
Challuy;46.94196697;3.140253373
Champlin;47.244720142;3.45042992
Champvert;46.853200997;3.523436401
Chaumot;47.251871128;3.643272447
Colmery;47.348513898;3.246722321
Corbigny;47.256108779;3.689402188
Cossaye;46.75584565;3.5098283500000003
Dirol;47.31839342;3.643605188
Dommartin;47.071580028;3.845762646
Empury;47.347358725;3.822286786
Epiry;47.17048431;3.731841261
Garchizy;47.043647776;3.09366001
Lamenay Sur Loire;46.74622068;3.572315444
Lormes;47.289145913;3.825318823
Lucenay Les Aix;46.698049547;3.49197907
La Machine;46.891574846;3.462345119
Mesves Sur Loire;47.230238077;3.00396493
Metz Le Comte;47.393000619;3.63581637
Mhere;47.194724629;3.860095553
